Chr	Pos	Gene	Adipose	Blood	Muscle
X	276322	PLCXD1	0.166666667	0.292682927	0.142857143
X	303346	GTPBP6	0.222222222	0.414634146	0.357142857
X	333933	PPP2R3B	0.166666667	0.195121951	0.404761905
X	624344	SHOX	0	0	0
X	1190490	CRLF2	0	0.083333333	0
X	1268793	CSF2RA	0.342857143	0.682926829	0.119047619
X	1336616	IL3RA	0.111111111	0.268292683	0.166666667
X	1386152	SLC25A6	0.5	0.783783784	0.405405405
X	1403139	ASMTL	0.277777778	0.365853659	0.214285714
X	1462581	P2RY8	0.111111111	0.731707317	0.071428571
X	1591604	AKAP17A	0.333333333	0.625	0.25
X	1615059	ASMT	0.05	0	0
X	2219506	DHRSX	0.472222222	0.487804878	0.317073171
X	2486414	ZBED1	0.5	0.55	0.3
X	2691187	CD99	0.5	0.536585366	0.333333333
X	2752040	XG	0.361111111	0.05	0.095238095
X	2828822	GYG2	0.823529412	0	0.243902439
X	2903972	ARSD	0.25	0.292682927	0.142857143
X	2934045	ARSL	0	0	0
X	3006546	ARSH	0	0	0
X	3041471	ARSF	0	0	0
X	3308565	MXRA5	0.212121212	0	0.162162162
X	3604340	PRKX	0.138888889	0.609756098	0.023809524
X	5840637	NLGN4X	0	0	0.047619048
X	6667865	PUDP	0.194444444	0.390243902	0.238095238
X	7147237	STS	0.277777778	0.146341463	0.261904762
X	7898247	PNPLA4	0.1875	0.081081081	0.078947368
X	8528874	ANOS1	0.142857143	0.029411765	0.12195122
X	8790795	FAM9A	0	0	NA
X	9024232	FAM9B	0	0	0
X	9463320	TBL1X	0.138888889	0.12195122	0.047619048
X	9725346	GPR143	0	0.102564103	0
X	9786429	SHROOM2	0.029411765	0.029411765	0
X	9967358	CLDN34	NA	NA	0
X	10015254	WWC3	0.027777778	0.097560976	0
X	10156975	CLCN4	0.055555556	0.024390244	0.071428571
X	10445310	MID1	0.083333333	0	0.047619048
X	11111301	HCCS	0.05	0.076923077	0
X	11117651	ARHGAP6	0.085714286	0.05	0.073170732
X	11293413	AMELX	0.033333333	0	0
X	11758159	MSL3	0.096774194	0.166666667	0.028571429
X	11822423	FRMPD4	0	0.025	0
X	12791355	PRPS2	0	0.048780488	0
X	12867072	TLR7	0	0	0.025641026
X	12906620	TLR8	0.088235294	0.2	0
X	12975110	TMSB4X	0.148148148	0.233333333	0.166666667
X	13035617	FAM9C	0	0	0
X	13318647	ATXN3L	NA	0	NA
X	13569601	EGFL6	0.15625	0	0
X	13653112	TCEANC	0.176470588	0.153846154	0.05
X	13689128	RAB9A	0.083333333	0.097560976	0.023809524
X	13712244	TRAPPC2	0.085714286	0.384615385	0.075
X	13734743	OFD1	0.088235294	0.315789474	0.1
X	13770939	GPM6B	0.055555556	0.225	0.095238095
X	14002474	GEMIN8	0.129032258	0.222222222	0.028571429
X	14529298	GLRA2	0	0	0.034482759
X	14690388	FANCB	0	0	0
X	14873421	MOSPD2	0	0.024390244	0.024390244
X	15235288	ASB9	0	0	0.05
X	15281697	ASB11	0.114285714	0	0.119047619
X	15319452	PIGA	0.03030303	0	0
X	15345596	VEGFD	0.057142857	0	0.071428571
X	15384799	PIR	0.228571429	0	0.097560976
X	15464246	BMX	0.055555556	0.025641026	0.075
X	15494566	ACE2	0.057142857	0.025641026	0
X	15627318	CLTRN	0.029411765	0.052631579	0.03125
X	15688830	CA5B	0.285714286	0.4	0.166666667
X	15790156	ZRSR2	0.257142857	0.5	0.073170732
X	15825806	AP1S2	0.205882353	0.289473684	0.179487179
X	16123565	GRPR	0	0	0
X	16167481	MAGEB17	0	0	0
X	16587999	CTPS2	0.111111111	0	0.023809524
X	16650158	S100G	0.041666667	0	0
X	16719612	SYAP1	0.277777778	0.317073171	0.142857143
X	16786432	TXLNG	0.428571429	0.4	0.292682927
X	16839283	RBBP7	0.361111111	0.365853659	0.285714286
X	16946658	REPS2	0.029411765	0	0
X	17375200	NHS	0.027777778	0.024390244	0.047619048
X	17737449	SCML1	0.029411765	0.027027027	0.076923077
X	17800049	RAI2	0.029411765	0	0.027027027
X	18162931	BEND2	0	0.055555556	0
X	18239313	SCML2	0	0.027027027	0
X	18425583	CDKL5	0.028571429	0.048780488	0.025641026
X	18639688	RS1	0	0	0
X	18675909	PPEF1	0	0	0
X	18892298	PHKA2	0	0.026315789	0
X	18989307	ADGRG2	0.027777778	0	0.024390244
X	19343893	PDHA1	0.03125	0	0.184210526
X	19360056	MAP3K15	0.088235294	0.024390244	0.153846154
X	19533977	SH3KBP1	0	0	0
X	19912860	BCLAF3	0.083333333	0.048780488	0.048780488
X	20006713	MAP7D2	0.034482759	0.027027027	0.029411765
X	20124525	EIF1AX	0.424242424	0.564102564	0.578947368
X	20149911	RPS6KA3	0.085714286	0.05	0.048780488
X	21372801	CNKSR2	0.057142857	0.048780488	0
X	21654690	KLHL34	0	0	0.066666667
X	21705978	SMPX	0.153846154	0	0.102564103
X	21839617	MBTPS2	0.03030303	0.051282051	0
X	21855987	YY2	0	0.034482759	0
X	21940709	SMS	0.029411765	0	0
X	22032325	PHEX	0	0.025	0
X	22272913	CBLL2	0	0	0
X	22999960	DDX53	0	0	0.045454545
X	23334849	PTCHD1	0	0	0
X	23664262	PRDX4	0	0.052631579	0
X	23701055	ACOT9	0.055555556	0.048780488	0.071428571
X	23783173	SAT1	0.086956522	0.068965517	0
X	23833353	APOO	0.060606061	0.054054054	0.055555556
X	23908006	CXorf58	0	0	0.032258065
X	23983716	KLHL15	0.032258065	0.058823529	0.028571429
X	24054946	EIF2S3	0.545454545	0.648648649	0.552631579
X	24149173	ZFX	0.529411765	0.666666667	0.675
X	24308210	SUPT20HL2	0	0	0
X	24360639	SUPT20HL1	0	0.125	0
X	24465244	PDK3	0.085714286	0.05	0.05
X	24558087	PCYT1B	0	0	0
X	24693873	POLA1	0.083333333	0.025	0.048780488
X	25003694	ARX	0	0	0
X	26138343	MAGEB18	NA	0	NA
X	26192440	MAGEB6	NA	0	NA
X	27460207	PPP4R3C	0	0	0
X	27590344	DCAF8L2	0	0	0
X	27807990	MAGEB10	0	0	NA
X	27977992	DCAF8L1	NA	0	0
X	28587446	IL1RAPL1	0.027777778	0	0.095238095
X	30215563	MAGEB2	0	0	0
X	30230657	MAGEB3	NA	0	0
X	30242000	MAGEB4	0	NA	NA
X	30243715	MAGEB1	0	0	NA
X	30304206	NR0B1	0	0	0
X	30558809	TASL	0	0.102564103	0
X	30653359	GK	0.029411765	0.025	0.05
X	30827442	TAB3	0.055555556	0.073170732	0
X	31097677	DMD	0.138888889	0	0.5
X	34129752	FAM47A	0	0	0.25
X	34627075	TMEM47	0.027777778	0	0.05
X	34942796	FAM47B	NA	0	NA
X	35798342	MAGEB16	0	0	NA
X	35919734	CFAP47	0.03125	0	0
X	37008366	FAM47C	NA	0	NA
X	37349309	PRRG1	0	0	0.119047619
X	37571569	LANCL3	0.064516129	0.05	0
X	37685791	XK	0	0	0
X	37780018	CYBB	0.147058824	0.076923077	0.1
X	37836757	DYNLT3	0.028571429	0.075	0.048780488
X	38006553	SYTL5	0	0.0625	0
X	38149336	SRPX	0	0	0
X	38269163	RPGR	0	0	0.047619048
X	38327598	OTC	0	0	0
X	38561542	TSPAN7	0.194444444	0	0.142857143
X	38801440	MID1IP1	0.055555556	0.055555556	0
X	40049815	BCOR	0	0.12195122	0.047619048
X	40579372	ATP6AP2	0.117647059	0.025	0.157894737
X	40623428	MPC1L	0	0	0
X	40626921	CXorf38	0.121212121	0.425	0.105263158
X	40648305	MED14	0.114285714	0.390243902	0.261904762
X	41085445	USP9X	0.166666667	0.317073171	0.30952381
